# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2010cp      NGC4877                      0.507     0.86     0.06    0.498     0.83     0.10    0.420     0.82     0.05    0.356     0.72     0.21
1999br      NGC4900                      0.447     0.86     0.09    0.489     0.65     0.13    0.782     0.04     0.06    0.796    -0.29     0.23
1991X       NGC4902                      0.280     0.09     0.05    0.265     0.09     0.08    0.109    -0.20     0.05    0.097    -0.18     0.21
2011A       NGC4902                      0.778    -0.04     0.12    0.779     0.00     0.18    0.802     0.17     0.10    0.779    -0.02     0.40
2012hy      NGC4903                      0.629    -0.10     0.12    0.631    -0.06     0.19    0.720    -0.25     0.08    0.817    -0.17     0.28
1959B       NGC4921                      0.809     0.33     0.22    0.808     0.46     0.38    0.765    -0.67     0.23    0.848   -99.00    -9.00
1999fz      UGC08164                     0.140     0.82     0.08    0.134     0.72     0.13    0.074     0.29     0.08    0.054     0.35     0.53
1973J       NGC4939                      0.478    -0.41     0.07    0.513    -0.46     0.11    0.408    -0.15     0.06    0.507    -0.86     0.17
2008aw      NGC4939                      0.665     0.29     0.16    0.698     0.33     0.24    0.625     0.30     0.10    0.674     0.32     0.46
2014B       NGC4939                      0.877    -0.67     0.19    0.909    -0.69     0.28    0.871    -0.74     0.13    0.875    -0.72     0.56
1994U       NGC4948                      0.006     0.20     0.07    0.006     0.14     0.11    0.006    -0.11     0.09    0.003    -0.26     0.51
2005af      NGC4945                      1.000   -25.24    18.59    1.000   -64.72   516.41    1.000   -10.15     0.90    1.000    -7.59     1.16
2011ja      NGC4945                      0.992    -6.04     0.05    0.993    -6.54     0.06    0.991    -7.11     0.04    0.991    -7.39     0.12
2005az      NGC4961                      0.454    -0.29     0.06    0.451    -0.82     0.07    0.371    -2.48     0.01    0.277    -3.01     0.06
1937C       IC4182                       0.159    -1.18     0.15    0.160    -2.70     0.12    0.112    -6.76     0.22    0.205    -6.67     0.55
2000P       NGC4965                      0.293     0.24     0.15    0.294     0.16     0.21    0.361     0.60     0.10    0.331     0.77     0.44
1968I       NGC4981                      0.087     1.05     0.04    0.084     0.99     0.06    0.055     0.84     0.04    0.051     0.62     0.14
2007C       NGC4981                      0.400    -0.24     0.06    0.409    -0.26     0.09    0.409    -0.19     0.04    0.421     0.07     0.20
2011iy      NGC4984                      0.305     0.11     0.04    0.321     0.11     0.07    0.666     0.43     0.04    0.645     0.12     0.09
1992K       ESO269-057                   0.468     0.23     0.07    0.445     0.23     0.10    0.180     0.07     0.07    0.150     0.01     0.33
2013T       UGC08250                     0.987    -0.95     0.34    0.987    -1.02     0.52    0.979     0.03     0.32    0.975   -99.00    -9.00
2013bc      IC4209                       0.984    -2.20     0.16    0.985    -2.23     0.27    0.980    -2.36     0.21    0.951    -1.68     0.55
1996ai      NGC5005                      0.367    -0.21     0.02    0.367    -0.26     0.03    0.252    -1.11     0.01    0.258    -1.37     0.05
1997eg      NGC5012                      0.593    -0.26     0.06    0.595    -0.34     0.08    0.528     0.04     0.04    0.500     0.14     0.20
1991J       NGC5020                      0.889    -0.17     0.25    0.893     0.43     0.50    0.902     0.32     0.21    0.930     0.34     0.91
2002dj      NGC5018                      0.272     0.57     0.02    0.253     0.53     0.04    0.224     0.45     0.05    0.174     0.31     0.24
1950C       NGC5033                      1.000    -3.63     0.21    1.000    -6.01     0.34    1.000   -10.86     3.50    1.000    -9.29     2.92
1985L       NGC5033                      0.721    -0.00     0.13    0.732    -1.20     0.11    0.625    -3.48     0.02    0.684    -4.03     0.07
2001gd      NGC5033                      0.882    -1.48     0.14    0.893    -2.96     0.12    0.841    -4.94     0.03    0.879    -5.69     0.16
2009ev      NGC5026                      0.957     2.17     0.46    0.957     1.49     0.56    0.983     2.20     1.49    0.997   -99.00    -9.00
1984I       ESO323-099                   0.453     1.13     0.30    0.470     0.64     0.35    0.729     0.98     0.16    0.718     1.32     0.78
2008cd      NGC5038                      0.819    -2.24     0.02    0.810    -2.26     0.03    0.737    -2.24     0.02    0.630    -1.95     0.04
1971I       NGC5055                      0.842    -0.19     0.16    0.854    -1.70     0.12    0.894    -4.44     0.02    0.910    -5.08     0.08
2005au      NGC5056                      0.594     0.16     0.09    0.577     0.17     0.14    0.524     0.15     0.05    0.458     0.19     0.24
2004ab      NGC5054                      0.142     0.88     0.04    0.155     0.96     0.06    0.179     0.94     0.02    0.186     0.77     0.08
2014A       NGC5054                      0.246    -0.03     0.05    0.262    -0.07     0.07    0.317    -0.20     0.03    0.360    -0.13     0.10
1996X       NGC5061                      0.514     0.65     0.13    0.500     0.61     0.20    0.594     0.13     0.25    0.697    -1.05     0.78
2005cn      NGC5061                      0.615     0.75     0.36    0.603     0.69     0.52    0.772     1.38     0.72    0.913   -99.00    -9.00
2002bs      IC4221                       0.012    -0.20     0.04    0.013    -0.19     0.07    0.012    -0.12     0.03    0.010    -0.00     0.17
1999cz      NGC5078                      0.002     3.11     0.04    0.002     2.96     0.06    0.001     1.29     0.03    0.001     1.29     0.13
1997br      ESO576-040                   1.000    -6.70     1.79    1.000    -7.58     1.49    1.000   -10.14     1.18    1.000   -11.99     1.97
2003am      ESO576-040                   0.380    -0.81     0.08    0.351    -1.83     0.08    0.366    -5.42     0.04    0.239    -5.59     0.13
1986B       NGC5101                      0.646     0.31     0.22    0.647     0.48     0.39    0.624    -0.70     0.15    0.533   -99.00    -9.00
2007W       NGC5105                      0.562     0.61     0.27    0.570     0.57     0.40    0.755     0.49     0.17    0.755    -0.04     0.55
1991U       IC4232                       0.094     0.47     0.05    0.087    -0.00     0.06    0.051    -2.29     0.02    0.038    -3.11     0.09
1991bi      NGC5127                      0.356     0.77     0.07    0.362     0.78     0.11    0.480     0.46     0.15    1.000    -0.69     0.65
1997co      NGC5125                      0.500     0.56     0.08    0.494     0.59     0.13    0.446     0.41     0.06    0.376     0.40     0.28
1992ag      ESO508-067                   0.005     1.46     0.04    0.004     1.12     0.05    0.003    -0.50     0.02    0.002    -0.71     0.07
1962H       IC4237                       0.455     0.07     0.08    0.447     0.06     0.12    0.386    -0.13     0.05    0.371     0.11     0.27
1986G       NGC5128                      0.479    -1.00     0.04    0.517    -1.32     0.05    0.841    -3.19     0.01    0.897    -3.74     0.05
2007cg      ESO508-075                   0.571    -0.40     0.05    0.545    -0.41     0.08    0.449    -0.38     0.04    0.350    -0.36     0.15
2006by      NGC5149                      0.201     0.77     0.04    0.214     0.74     0.05    0.191     0.71     0.02    0.152     0.42     0.06
1997by      IC4252                       0.013     3.75     0.05    0.011     3.42     0.08    0.006     2.50     0.17    0.003     1.04     2.77
2012cj      NGC5156                      0.397     0.73     0.08    0.419     0.65     0.12    0.548     0.19     0.05    0.550     0.03     0.18
1974B       NGC5161                      0.339     0.79     0.89    0.367     0.88     0.97    0.874    -0.53     0.24    0.917    -0.72     0.87
1998E       NGC5161                      0.055     0.25     0.07    0.057     0.24     0.09    0.097     0.13     0.05    0.133     0.42     0.20
1998cc      NGC5172                      0.004     4.62     0.12    0.003     4.21     0.18    0.001     2.11     0.09    0.000     1.52     0.46
2001R       NGC5172                      0.910    -0.95     0.17    0.912    -0.91     0.26    0.940    -1.40     0.13    0.912    -1.34     0.54
2007cd      NGC5174                      0.436     0.25     0.09    0.428     0.18     0.13    0.305     0.23     0.06    0.277     0.09     0.30
1994I       NGC5194                      0.087     0.12     0.02    0.082     0.01     0.03    0.041    -0.62     0.01    0.048    -0.68     0.04
2005cs      NGC5194                      0.286    -0.24     0.05    0.285    -0.50     0.06    0.236    -1.41     0.01    0.274    -1.47     0.05
2011dh      NGC5194                      0.788    -0.51     0.09    0.792    -1.27     0.10    0.789    -2.76     0.02    0.818    -3.23     0.06
1945A       NGC5195                      0.108     0.32     0.01    0.105     0.25     0.02    0.063     0.25     0.02    0.075     0.19     0.04
2006br      NGC5185                      0.334    -0.16     0.05    0.315    -0.57     0.06    0.159    -3.63     0.03    0.141    -4.61     0.19
2006dz      NGC5185                      0.991    -3.94     0.12    0.991    -4.62     0.21    0.990    -7.94     0.60    0.979    -8.36     2.54
1993O       A133107-3312                 0.870     1.72     0.58    0.878     0.87     0.57    0.770     1.14     0.32    0.706    -0.06     0.95
1999cf      UGC08539                     0.973     0.25     0.41    0.971    -0.07     0.50    0.965     1.13     0.71    0.919     0.14     0.98
2005bw      UGC08539                     0.703    -0.25     0.09    0.691    -0.29     0.13    0.616    -0.06     0.07    0.436     0.13     0.37
2011bl      UGC08554                     0.716    -0.64     0.09    0.700    -0.62     0.14    0.623    -0.54     0.08    0.567    -0.45     0.51
2009gl      IC0900                       0.434     0.21     0.08    0.420     0.21     0.12    0.369     0.14     0.04    0.306     0.04     0.19
2008ez      NGC5222                      0.888     0.40     0.21    0.882     0.79     0.39    0.869     0.66     0.39    0.871   -99.00    -9.00
2000ca      ESO383-032                   0.144    -0.13     0.09    0.129    -0.14     0.15    0.091    -0.07     0.10    0.059    -0.08     0.42
1970P       NGC5230                      0.742     0.03     0.15    0.709     0.17     0.23    0.687     0.00     0.07    0.643    -0.23     0.28
1923A       NGC5236                      0.410    -0.42     0.04    0.427    -1.07     0.05    0.468    -1.71     0.01    0.633    -1.93     0.04
1945B       NGC5236                      0.629    -0.05     0.08    0.656    -1.41     0.06    0.744    -2.53     0.01    0.842    -3.07     0.04
1950B       NGC5236                      0.339    -0.69     0.04    0.349    -1.27     0.04    0.364    -1.85     0.01    0.542    -2.00     0.03
1957D       NGC5236                      0.428    -0.26     0.05    0.447    -1.02     0.05    0.492    -1.82     0.01    0.654    -1.98     0.04
1968L       NGC5236                      0.017    -0.16     0.01    0.018    -0.24     0.01    0.018    -0.35     0.01    0.032    -0.43     0.01
1983N       NGC5236                      0.533    -0.52     0.06    0.558    -1.42     0.05    0.629    -2.31     0.01    0.761    -2.66     0.04
1895B       NGC5253                      0.415     0.72     0.07    0.657     1.03     0.09    0.703     2.13     0.04    0.609     1.10     0.05
1972E       NGC5253                      0.841     1.32     0.40    0.914     1.72     0.67    0.931     1.08     0.18    0.935     1.58     0.50
2001bb      IC4319                       0.921    -1.90     0.08    0.921    -1.89     0.12    0.904    -1.91     0.08    0.771    -1.38     0.35
2004cb      ESO445-020                   0.917    -1.29     0.18    0.930    -1.41     0.34    0.843    -1.06     0.20    0.808    -0.60     0.77
2005by      UGC08701                     1.000    -1.60     2.60    1.000    -1.30     2.01    0.887    -0.28     0.12    0.741    -0.42     0.45
2009at      NGC5301                      0.885    -0.55     0.20    0.874    -1.06     0.19    0.634    -2.71     0.02    0.543    -3.09     0.07
1996bk      NGC5308                      0.909    -3.01     0.04    0.900    -2.94     0.06    0.886    -2.61     0.33    0.906    -2.85     2.47
