# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2000J       UGC08510                     0.874    -2.95     3.75    0.870    -0.07     9.31    0.718    -0.91     6.19
2002ca      UGC08521                     0.613     0.15     1.43    0.617     0.11     1.31    0.530     0.30     1.63
2002bi      UGC08527                     0.428    -0.08     0.75    0.443    -0.05     0.64    0.447    -0.13     0.65
1999cf      UGC08539                     0.799    -0.06     5.02    0.586    -0.61     2.72    0.675   -99.00    -9.00
2005bw      UGC08539                     0.578    -0.37     1.57    0.415    -0.09     1.56    0.520    -0.07     1.62
2009gl      IC0900                       0.417     0.00     1.30    0.525     0.12     1.30    0.347    -0.12     1.31
2008ez      NGC5222                      0.580    -0.34     2.38    0.211    -0.41     1.59    0.276    -0.17     2.23
2004P       UGC08561                     0.269     0.64     0.98    0.281     0.98     1.06    0.284     0.76     1.00
1997cv      ESO383-031                   0.000     4.21     1.67    0.000     4.53     1.57    0.000     4.71     1.64
2000ca      ESO383-032                   0.234    -0.44     1.21    0.236    -0.40     1.07    0.220    -0.31     1.34
1970P       NGC5230                      0.660     0.14     2.60    0.571    -0.40     1.71    0.603    -0.11     2.28
1923A       NGC5236                      0.428    -0.31     0.83    0.440    -0.23     0.81    0.477    -0.32     0.86
1945B       NGC5236                      0.659     0.29     1.61    0.662     0.28     1.54    0.706     0.09     1.60
1950B       NGC5236                      0.358    -0.08     0.85    0.370    -0.20     0.75    0.403    -0.24     0.81
1957D       NGC5236                      0.446     0.07     1.03    0.457     0.13     1.00    0.496    -0.00     1.04
1968L       NGC5236                      0.012    -0.22     0.12    0.013    -0.22     0.11    0.015    -0.25     0.12
1983N       NGC5236                      0.555    -0.51     0.98    0.563    -0.49     0.95    0.606    -0.60     1.02
2004bk      NGC5246                      0.680    -0.46     1.37    0.670    -0.50     1.23    0.640    -0.27     1.40
1895B       NGC5253                      0.261     0.48     1.02    0.270     0.44     0.97    0.278     0.36     1.06
1972E       NGC5253                      0.723     2.39     9.29    0.742   -99.00    -9.00    0.741    -0.35     2.68
2005dv      NGC5283                      0.520     0.46     0.83    0.501     0.43     0.74    0.512     0.43     0.81
1991D       PGC084044                    0.609     0.51     2.36    0.440    -0.15     1.49    0.767    -0.14     1.56
2001ai      NGC5278                      0.314    -0.11     0.82    0.333    -0.15     0.73    0.330    -0.16     0.78
2003fd      UGC08670                     0.722     0.64     3.99    0.623     0.69     3.51    0.655     0.20     2.88
2006dh      UGC08670                     0.487     0.85     3.05    0.412     0.59     2.44    0.420     0.36     2.38
1993ak      UGC08685                     0.883    -0.54     3.44    0.894    -1.16     3.05    0.906    -1.05     2.84
2001bb      IC4319                       0.927    -2.04     1.36    0.969    -2.57     1.11    0.968    -2.76     1.26
2004cb      ESO445-020                   0.593    -1.43     2.59    0.211    -1.32     2.02    0.360    -3.32     3.64
2005G       UGC08690                     0.842    -0.20     2.96    0.847     0.59     3.55    0.819    -0.52     2.64
2005by      UGC08701                     0.934    -1.06     1.98    0.928    -1.15     1.80    0.923    -0.98     2.16
2009at      NGC5301                      0.607    -0.07     1.38    0.653    -0.32     1.14    0.666    -0.30     1.25
1996bk      NGC5308                      0.885    -3.66     0.54    0.428    -3.01     0.49    0.640    -3.46     0.54
2012cp      UGC08713                     0.157     0.13     1.30    0.173     0.09     1.11    0.171     0.01     1.15
1985I       PGC049009                    0.676     1.32     2.18    0.574     1.77     2.40    0.589     0.54     1.63
2013hn      IC4329                       0.878    -1.04     3.41    0.656    -0.06     3.51    0.695    -0.37     3.38
2004bf      UGC08739                     0.541    -0.35     1.08    0.416    -0.37     0.91    0.553    -0.32     0.97
2005al      NGC5304                      0.353     0.31     1.30    0.247     0.28     1.14    0.212     0.45     1.37
2011X       ESO221-007                   0.996    -2.10     3.43    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2009ep      NGC5329                      0.255     0.79     0.93    0.199     0.83     0.86    0.263     0.79     0.93
1993H       ESO445-066                   0.440    -0.35     1.31    0.440    -0.09     1.38    0.401    -0.24     1.44
2003gm?     NGC5334                      0.326     0.41     2.62    0.062     0.62     2.48    0.025     1.15     2.84
1996P       NGC5335                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2006E       NGC5338                      0.064     0.65     3.00    0.101     0.05     2.27    0.063     1.74     5.64
1995R       UGC08801                     1.000    -5.91     1.95    1.000    -5.98     2.35    1.000    -6.50     6.57
2013aj      NGC5339                      0.195    -0.05     1.04    0.213    -0.06     0.96    0.230    -0.19     1.02
1994Y       NGC5371                      0.173     0.28     1.24    0.322     0.33     1.17    0.321     0.53     1.43
1992H       NGC5377                      0.701     1.29     3.62    0.730     1.09     3.05    0.708     1.69     4.73
1991ak      NGC5378                      0.205    -0.30     2.26    0.303     0.11     2.78    0.270    -0.05     2.75
1989K       NGC5375                      0.810    -0.01     3.44    0.725     2.56     8.69    0.781   -99.00    -9.00
2005cc      NGC5383                      0.088     0.30     0.49    0.091     0.29     0.43    0.096     0.30     0.46
2003bl      NGC5374                      0.588     1.27     2.48    0.622     0.82     1.92    0.638     0.60     1.86
2010do      NGC5374                      0.637    -0.05     1.48    0.670     0.12     1.53    0.689     0.16     1.66
2010ac      IC4352                       0.697    -0.51     0.76    0.722    -0.45     0.70    0.733    -0.40     0.77
2000cr      NGC5395                      0.427    -0.62     1.05    0.484    -0.59     0.96    0.580    -0.48     1.10
2008U       UGC08917                     0.231    -0.16     1.15    0.294    -0.16     1.03    0.264    -0.16     1.07
1977B       NGC5406                      0.951    -0.50     3.38    0.929     0.74     4.64    0.924     0.03     4.34
2003bu      NGC5393                      0.408     0.30     0.73    0.392     0.30     0.66    0.420     0.42     0.75
2011ck      NGC5425                      0.944    -3.09     1.50    0.933    -3.84     1.41    0.915    -3.23     1.49
2008dw      UGC08932                     0.035     0.30     1.65    0.034     0.11     1.45    0.029     0.37     1.87
2011is      NGC5409                      0.638    -0.43     2.53    0.606     0.29     3.17    0.674   -99.00    -9.00
1999bz      UGC08959                     0.406     3.20    14.18    0.383     0.23     3.89    0.496     1.61     6.57
2010gk      NGC5433                      0.175     0.95     0.57    0.211     1.06     0.50    0.215     1.13     0.52
1985E       ESO510-048                   0.724    -0.91     2.70    0.814    -0.55     3.67    0.369    -0.77     2.57
1998D       NGC5440                      0.843    -2.97     1.94    0.853    -3.82     1.73    0.846    -3.70     2.71
1909A       NGC5457                      1.000    -2.84     9.12    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1951H       NGC5457                      0.923     0.42     5.75    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1970G       NGC5457                      0.949    -2.30     2.09    1.000    -7.21    91.56    1.000    -0.94    11.37
2011fe      NGC5457                      0.801     0.83     4.49    1.000    -7.59    99.27    0.981    -2.32     2.05
1991B       NGC5426                      0.309     0.67     1.52    0.347     0.51     1.30    0.347     0.74     1.59
2009mz      NGC5426                      0.509    -0.57     1.84    0.548    -0.21     2.12    0.543    -0.20     2.50
1976D       NGC5427                      0.922    -0.98     1.94    0.996    -1.22     2.51    1.000    -2.02     2.15
2005N       NGC5420                      0.849   -99.00    -9.00    0.849    -1.75     2.56    0.904    -2.54     2.30
2001U       NGC5442                      0.857    -0.91     1.56    0.813    -0.78     1.48    0.790    -0.90     1.57
2011bz      NGC5442                      0.990    -5.08     1.84    0.972    -3.42     1.36    0.945    -4.15     1.84
2005bq      IC4367                       0.249     0.48     0.84    0.240     0.47     0.74    0.261     0.45     0.81
2009fi      PGC050294                    0.498    -0.82     2.65    0.221    -0.43     2.25    0.310    -0.66     2.87
1988L       NGC5480                      0.118     0.58     1.34    0.123     0.57     1.21    0.085     0.45     1.27
1999cp      NGC5468                      0.773    -0.35     3.51    0.539     1.27     5.79    0.684   -99.00    -9.00
2002cr      NGC5468                      0.820    -0.50     4.04    0.591     0.26     3.75    0.746    -1.13     2.62
2002ed      NGC5468                      0.735    -0.87     2.38    0.506    -0.54     2.22    0.647    -0.77     2.20
2005P       NGC5468                      0.498     0.27     2.52    0.332     0.15     2.07    0.429    -0.18     2.17
1982W       NGC5485                      0.751     0.18     3.10    0.682     0.59     3.25    0.808    -0.48     2.35
2004cm      NGC5486                      0.005     0.32     1.03    0.007     0.46     0.96    0.007     0.43     1.05
2005S       UGC09037                     0.255    -0.13     1.19    0.231    -0.04     1.13    0.214    -0.42     1.07
2007cc      ESO578-026                   0.127    -0.00     0.38    0.123    -0.00     0.34    0.128    -0.00     0.37
1997cn      NGC5490                      0.334     0.59     0.99    0.427     0.53     0.87    0.322     0.45     0.91
2005I       IC0983                       0.483    -0.03     2.53    0.456     0.13     2.53    0.556    -0.18     2.55
1990M       NGC5493                      0.680    -3.52     0.17    0.741    -3.58     0.16    0.483    -3.58     0.17
1955J       PGC050685                    0.273     0.95     1.34    0.251     1.38     1.55    0.265     1.33     1.63
2010bp      ESO221-032                   0.316     0.35     1.35    0.260     0.08     1.10    0.338     0.01     1.16
1996cr      ESO097-013                   0.000     5.42     0.47    0.000     5.46     0.35    0.000     5.99     0.33
1971F       ESO446-033                   1.000    -1.55     7.13    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2007bf      UGC09121                     0.801     0.70     4.56    0.864     0.88     4.15    0.878    -0.08     3.38
2009gf      NGC5525                      0.820     0.24     2.63    0.829     0.85     3.17    0.832     0.89     3.44
2006cb      NGC5541                      0.233     0.04     0.59    0.231     0.06     0.54    0.226     0.06     0.57
2007ao      NGC5532                      0.760     0.61     3.12    0.755     1.72     4.64    0.813    -0.00     2.35
2001bq      NGC5534                      0.829    -2.09     1.07    0.906    -2.25     0.98    0.845    -2.22     1.20
