 1964F                  185.47150000   4.47433333    -28.0     -1.0  NGC4303                        185.47929167   4.47461111
 1964G                  245.90920833  39.20658333      3.0     11.0  PGC058000                      245.90845833  39.20355556
 1964H                  337.10025000  30.28980556    -28.0     -9.0  NGC7292                        337.10825000  30.29125000
 1964I                  245.77941667  41.23663889     17.0     18.0  Anon.                          245.77500000  41.21666667
 1964J                    9.00966667  -9.89119444      4.0    -10.0  MCG-02-02-064                    9.00850000  -9.88841667
 1964K                  348.70008333   7.71636111     -1.0     -8.0  MCG+01-59-019                  348.70004167   7.71844444
 1964L                  178.20458333  44.12933333     -3.0     31.0  NGC3938                        178.20520833  44.12152778
 1964M                  156.80458333  20.49080556    -14.0     -5.0  PGC1628881                     156.80916667  20.49208333
 1964N                   36.63008333  29.83058333    -24.0     -0.0  UGC01903                        36.63775000  29.83058333
 1964O                  227.21041667  55.46861111  -9999.9  -9999.9  Anon.                          227.21000000  55.46833333
 1965A                  186.62825000   9.02213889     17.0     10.0  NGC4410B                       186.62345833   9.01936111
 1965B                  192.73783333 -14.33044444     -6.0      8.0  NGC4727                        192.73954167 -14.33266667
 1965C                  175.84358333  18.54294444      1.0     -8.0  Anon.                          175.82500000  18.51666667
 1965D                  159.85966667 -27.90461111     17.0     29.0  ESO437-032                     159.85433333 -27.91244444
 1965E                  147.52945833  34.41522222    -36.0      5.0  PGC028304                      147.54150000  34.41505556
 1965F                  242.65825000  19.05780556    -11.0      2.0  PGC057378                      242.66187500  19.05761111
 1965G                  182.97454167  24.11741667     19.0    -23.0  NGC4162                        182.96875000  24.12380556
 1965H                  191.27983333  -0.46986111    -22.0    -29.0  NGC4666                        191.28591667  -0.46180556
 1965I                  193.06508333  -1.18077778    -98.0     68.0  NGC4753                        193.09229167  -1.19966667
 1965J                   50.26912500 -37.10411111     14.0     -7.0  NGC1310                         50.26437500 -37.10172222
 1965K                   37.35412500  31.46936111    -18.0     -8.0  UGC01963                        37.35995833  31.47158333
 1965L                  170.24233333  53.18505556    -38.0     58.0  NGC3631                        170.25991667  53.16894444
 1965M                  349.76175000  -8.47125000    -30.0     50.0  NGC7606                        349.77016667  -8.48513889
 1965N                  149.92383333  35.39552778      6.0      9.0  NGC3074                        149.92200000  35.39280556
 1965O                  180.59437500  49.92138889    -13.0     17.0  Anon.                          180.60000000  49.91666667
 1965P                  128.05104167  22.56208333     13.0      5.0  NGC2599                        128.04712500  22.56069444
 1966A                  138.73312500  46.90069444      3.0    -10.0  UGC04870                       138.73191667  46.90347222
 1966B                  191.93708333   4.32561111    -24.0    -38.0  NGC4688                        191.94375000   4.33616667
 1966C                  247.29400000  40.98886111     12.0      4.0  PGC058319                      247.28958333  40.98775000
 1966D                  174.07987500  20.51972222    -12.0     -8.0  PGC035882                      174.08341667  20.52194444
 1966E                  183.44141667  13.41488889    -20.0    -36.0  NGC4189                        183.44712500  13.42488889
 1966F                  187.19737500   6.51030556      7.0     -6.0  NGC4453                        187.19541667   6.51197222
 1966G                   21.15745833   1.73500000     60.0     13.0  NGC0521                         21.14079167   1.73138889
 1966H                   20.15166667   3.43305556      6.0     -1.0  Anon.                           20.15000000   3.43333333
 1966I                    8.62366667  30.39730556     -1.0     -0.0  PGC002065                        8.62450000  30.39705556
 1966J                  154.93954167  45.50400000   -100.0   -165.0  NGC3198                        154.97920833  45.54983333
 1966K                  169.56162500  28.26466667    -26.0     15.0  UGC06322                       169.56979167  28.26050000
 1966L                   17.76887500  33.83469444     -7.0     -3.0  UGC00738                        17.77120833  33.83552778
