# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
1982R       NGC1187                      0.624    -0.47     0.05    0.665    -0.25     0.02
2007Y       NGC1187                      0.869    -0.34     0.09    0.888     0.32     0.06
2014dd      UGC02504                    -9.000     4.56     9.02   -9.000     6.89     9.00
2008R       NGC1200                      0.489     0.31     0.41    0.413     0.03     0.11
2003hv      NGC1201                      0.820    -3.44     9.02    0.799    -1.31     9.00
2005ij      A030421-0103                 0.031     2.26     0.28    0.030     2.92     0.13
SDSS4064    A030426+0102                 0.112     2.21     0.47   -9.000     4.12     0.99
1992bc      ESO300-009                   0.749    -0.55     0.49    0.775     0.46     0.34
2005fv      A030522+0051                 0.027     3.22     0.36    0.020     3.98     0.21
2005ek      UGC02526                     0.403    -2.05     9.00    1.000    -1.47     9.00
2005ez      A030710+0107                 0.118     2.92     2.12    0.192     2.61     9.25
2000fs      NGC1218                      0.073     8.97     0.34    0.046     7.46     0.13
2009bt      UGC02542                     0.006    -5.69    19.38    1.000    -3.33     9.09
2008ak      UGC02519                     0.338    -0.56     0.07    0.476    -0.21     0.03
2013gv      IC1890                       0.660    -5.21     9.05    0.916    -4.05     9.01
SDSS10106   A031046-0012                 0.125     2.15     9.01    0.205     4.05     9.01
2000F       IC0302                       0.100     1.79     0.19    0.111     2.21     0.10
1980O       NGC1255                      0.994    -2.59     0.65    0.993     0.91     1.04
2005em      IC0307                       1.000    -2.65     0.10    1.000    -3.90     0.23
2006dr      NGC1288                      0.017     0.70     0.54    0.032     0.96     0.23
2008L       NGC1259                      1.000    -4.32     9.47    1.000    -1.31     9.00
2006gy      NGC1260                      0.226     0.27     0.10    0.166     0.52     0.03
2006gj      UGC02650                     1.000     0.33     1.94    0.670    -3.72     9.03
2004F       NGC1285                      0.192     1.07     0.06    0.223     1.12     0.03
2013el      NGC1285                      0.330     0.01     0.04    0.363     0.34     0.02
1962M       NGC1313                      0.323     0.62     9.00    0.334     1.32     9.00
1978K       NGC1313                      0.922     1.37     0.63    0.928     1.26     0.31
2005hr      A031833+0007                 0.283     5.74     0.45    0.296     5.94     0.27
2001ev      UGC02653                     0.586    -3.32     9.04    0.195    -2.36     9.00
2007D       UGC02653                     0.173    -3.86     9.31    0.028    -2.13     9.01
2008fg      NGC1268                      0.811     0.87     0.58    0.951    -1.34     9.00
1975B       PGC012417                    0.393    -2.69     9.04    0.610     0.11     9.00
1968A       NGC1275                      0.695     1.06     0.07    0.704     1.74     0.04
2005mz      NGC1275                      0.705     1.82     0.11    0.714     2.59     0.06
2005fy      A032021-0053                 0.000    -3.26     9.36    0.000     0.48     9.00
2009hh      NGC1301                      0.251     1.03     0.09    0.278     1.24     0.05
2010ln      UGC02685                     0.229    -0.63     0.93    0.234     0.44     0.59
1965J       NGC1310                      0.196    -0.72     0.04    0.205    -0.43     0.02
2002fk      NGC1309                      0.096     0.81     0.03    0.120     0.74     0.01
2012Z       NGC1309                      0.834     0.55     0.07    0.861     0.84     0.03
1980N       NGC1316                      0.722    -3.02     9.00    0.788    -1.32     9.00
1981D       NGC1316                      0.496    -1.76     9.00    0.531     0.25     9.00
2006dd      NGC1316                      0.106     2.53     0.20    0.105     3.33     0.06
2006mr      NGC1316                      0.083     2.29     0.16    0.080     2.53     0.04
1975S       NGC1325                      0.912    -2.15     9.00    0.912    -1.23     9.00
1994aa      NGC1320                      1.000    -3.10     1.14    1.000    -4.45     0.88
1982E       NGC1332                      1.000   -11.47    87.51    1.000    -5.75     9.27
2008ed      UGC02740                     0.979    -2.48     5.06    0.950    -2.24     0.54
2005jo      A032821-0019                 1.000    -1.04     9.00   -9.000    -4.02     9.73
2005hs      A032922-0105                 0.013     0.75     3.34    0.090     1.27     9.01
1992bs      A032927-3716                 0.536     0.99     0.33    0.540     1.44     0.18
1969M       PGC012992                    0.304    -0.07     0.16    1.000     1.58     0.11
2005if      A033012-0058                 0.171     4.44     0.12    0.152     4.75     0.05
2005fw      A033049-0114                 0.553    10.47     1.72    0.244     7.34     0.24
2014dc      IC1949                       0.865    -0.42     9.00    0.861     3.26     0.35
1959A       NGC1350                      0.358     2.73     0.23    0.419     3.05     0.12
1993Y       UGC02771                     1.000    -4.99     9.87    1.000    -2.34     9.00
2009im      NGC1355                      1.000    -6.22     9.65    1.000    -0.96     1.21
1957C       NGC1365                      0.253     1.49     0.04    0.325     1.49     0.01
1983V       NGC1365                      0.123     2.05     0.05    0.187     2.32     0.02
2001du      NGC1365                      0.243     0.19     0.02    0.315     0.61     0.01
2012fr      NGC1365                      0.094     2.44     0.06    0.154     2.68     0.03
2005jf      A033340-0006                 0.212     6.20     1.66    0.072     4.35     0.34
2005gq      A033348+0042                -9.000   -22.73    40.53   -9.000   -42.27    54.02
2005ke      NGC1371                      0.051    -0.07     0.27    0.167     0.74     0.16
2003in      IC1956                       1.000    -0.30     2.51    0.764    -3.64     9.01
2013fv      UGC02789                     0.371    -1.20    13.95    0.311    -4.49     9.07
1992A       NGC1380                      0.646     4.57     0.61    0.599     1.39     0.03
2005gr      A033637+0104                -9.000    -3.11     9.26    0.006    -2.34     9.08
1992bp      A033637-1821                 0.658     1.41     0.89    0.717     2.49     0.68
1999go      NGC1376                      0.163     0.49     0.28    0.196     0.49     0.13
2003lo      NGC1376                      0.279     0.69     0.31    0.304     0.90     0.16
2011dx      NGC1376                      0.799     0.31     0.42    0.768     0.16     0.20
2008dv      NGC1343                      0.189     1.67     0.42    0.180     1.06     0.11
2010hk      UGC02802                     0.763     0.32     0.74    0.733     0.11     0.35
2003O       UGC02798                     0.870    -0.62     0.83    0.898     0.19     0.96
1976L       NGC1411                      1.000    -6.84     9.23    1.000    -5.43     9.05
2007on      NGC1404                      0.847     0.14     0.12    0.795    -1.36     0.02
2011iv      NGC1404                      0.343     1.14     0.02    0.226     1.03     0.01
1996N       NGC1398                      0.093     0.29     0.07    0.140     0.71     0.04
2002jj      IC0340                       0.027     0.02     0.52    0.086    -0.05     0.27
2010ey      ESO548-076                   0.532    -3.70     9.05    0.630    -2.05     9.00
2006kf      UGC02829                     0.578    -3.64     9.03    0.496     2.54     2.14
2005gp      A034159-0046                 0.105     4.11     0.45    0.126     4.79     0.15
1985P       NGC1433                      0.130     0.50     0.37    0.178     0.24     0.11
2006es      UGC02828                     0.210    -0.17     0.35    0.192     0.32     0.34
2007kk      UGC02828                     0.361    -1.64     9.00    0.372    -1.17     9.00
2008fb      UGC02813                     0.391     0.04     0.93    1.000     0.00     0.55
2005gm      NGC1423                      0.624     0.45     0.10    0.625     1.09     0.07
1992bk      ESO156-008                   0.424     0.22     0.85    0.418    -2.03     9.00
2001I       UGC02836                     0.354     1.88     0.42    0.265     2.94     0.32
2003ih      UGC02836                     0.700    -0.79     9.00    0.504     0.30     9.00
1983S       NGC1448                      0.333     2.52     0.40    0.389     2.16     0.16
2001el      NGC1448                      0.324     1.37     0.23    0.380     1.67     0.12
2003hn      NGC1448                      0.154     1.03     0.18    0.200     1.31     0.09
2014df      NGC1448                      1.000    -6.85     4.77    1.000    -5.46     2.60
2008hy      IC0334                       1.000    -1.73     1.26    1.000    -1.02     0.32
2014dg      UGC02855                     0.003    -3.96     9.17    0.005     1.49     0.20
2005mo      A035012-0014                 0.337    -3.75    10.07    0.195     2.34     9.00
2008jb      ESO302-014                   0.686    -2.20     0.04    0.686    -1.94     0.03
1991bb      UGC02892                     0.003    -4.63     9.75    0.017    -2.72     9.01
1937E       NGC1482                      1.000    -4.28    15.74    1.000    -2.09     9.00
2009bw      UGC02890                     1.000    -1.02     0.32    1.000    -1.05     0.22
1935C       NGC1511                      1.000    -4.01     9.01    0.715    -3.27     9.00
2008im      UGC02906                     0.000    -2.87     9.20    0.001     1.16     9.00
2005my      ESO302-027                   0.763    -1.07     0.29    0.753    -0.70     0.17
2007ah      UGC02931                     0.052     0.08     0.44    0.068     0.53     0.19
1991bd      UGC02936                    -9.000    -8.14    25.19    1.000    -1.77     9.00
2005kd      PGC014370                    0.261     0.50     0.40    0.410     0.16     0.11
2005dg      ESO420-003                   0.127     0.39     0.16    0.162     0.34     0.07
2008ge      NGC1527                      0.138     2.15     0.42    0.067     1.72     0.16
2003ig      UGC02971                     0.016    -4.60     9.54    0.257    -2.18     9.00
1997D       NGC1536                      0.951    -0.17     9.00    1.000     0.86     9.00
2002jz      UGC02984                     0.155     0.60     0.80    0.046     1.18     0.51
2011U       UGC02985                     0.947    -0.26     1.31    0.114     0.03     0.52
1999fo      A041445+0638                 0.011    -0.25     9.07   -9.000     3.88   128.55
2000eh      A041502+0423                -9.000    -6.95    10.05    0.105    -3.12     9.01
2009ab      UGC02998                     0.804    -2.92     9.00    0.770     3.26     1.67
2000ei      A041707+0545                 1.000    -4.37     9.46    0.001    -6.95    28.57
1997ej      IC2060                       1.000    -6.45    18.37    1.000    -4.23     9.04
2014dn      IC2060                       1.000    -6.36    17.84    1.000    -4.19     9.03
2010el      NGC1566                      0.074     1.55     0.06    0.095     1.61     0.03
