# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1999ed      16.41   0.13  19.21   0.49  17.70   0.24  16.19   0.12  19.89 -9.000 -99.00  -9.00  15.60   0.10  18.36   0.37  16.85   0.19  15.39   0.09  19.08 -9.000 -99.00  -9.00  15.43   0.13  18.23   0.47  16.71   0.23  15.20   0.12  18.90 -9.000 -99.00  -9.00  UGC3555             51.9     59.7
1999ee      14.41   0.05  16.44   0.14  14.92   0.07  13.36   0.03  17.89 -9.000 -99.00  -9.00  13.67   0.05  15.70   0.12  14.18   0.06  12.62   0.03  17.15 -9.000 -99.00  -9.00  13.33   0.05  15.36   0.13  13.84   0.07  12.27   0.03  16.81 -9.000 -99.00  -9.00  IC5179             116.1    124.8
1999ej      17.11   0.18  19.96   0.67  18.46   0.34  16.97   0.17  20.59 -9.000 -99.00  -9.00  16.85   0.19  19.76   0.71  18.25   0.35  16.71   0.17  20.33 -9.000 -99.00  -9.00  16.48   0.21  19.44   0.82  17.92   0.40  16.33   0.19  19.96 -9.000 -99.00  -9.00  NGC495              43.2     41.9
1999ek      16.35   0.13  19.38   0.52  17.86   0.26  16.33   0.13  19.83 -9.000 -99.00  -9.00  15.42   0.10  18.43   0.39  16.91   0.19  15.41   0.10  18.90 -9.000 -99.00  -9.00  15.17   0.12  18.19   0.46  16.67   0.23  15.16   0.11  18.65 -9.000 -99.00  -9.00  UGC3329            101.2     78.7
1999el      14.73   0.06  15.33   0.08  13.85   0.04  12.38   0.02  18.21 -9.000 -99.00  -9.00  14.00   0.06  14.61   0.08  13.12   0.04  11.62   0.02  17.48 -9.000 -99.00  -9.00  13.65   0.06  14.25   0.07  12.78   0.04  11.32   0.02  17.13 -9.000 -99.00  -9.00  NGC6951            128.9    142.2
1999et      16.21   0.12  18.98   0.45  17.47   0.22  15.93   0.11  19.69 -9.000 -99.00  -9.00  15.70   0.12  18.50   0.45  16.98   0.22  15.41   0.11  19.18 -9.000 -99.00  -9.00  15.23   0.13  17.99   0.45  16.48   0.23  14.96   0.11  18.71 -9.000 -99.00  -9.00  NGC1643             49.4     33.2
1999ex      15.15   0.08  17.16   0.19  15.65   0.10  14.12   0.05  18.62 -9.000 -99.00  -9.00  14.56   0.07  16.57   0.18  15.06   0.09  13.53   0.05  18.04 -9.000 -99.00  -9.00  14.20   0.08  16.22   0.20  14.70   0.10  13.17   0.05  17.68 -9.000 -99.00  -9.00  IC5179             148.8    110.8
1999gb      16.22   0.13  19.21   0.51  17.71   0.25  16.21   0.13  19.70 -9.000 -99.00  -9.00  15.54   0.10  18.51   0.40  17.01   0.20  15.53   0.10  19.02 -9.000 -99.00  -9.00  15.21   0.12  18.20   0.46  16.70   0.23  15.20   0.12  18.69 -9.000 -99.00  -9.00  NGC2532            108.6     96.4
1999gd      17.02   0.18  20.38   0.83  18.88   0.42  17.39   0.21  20.50 -9.000 -99.00  -9.00  16.40   0.15  19.82   0.73  18.31   0.36  16.79   0.18  19.88 -9.000 -99.00  -9.00  16.21   0.18  19.57   0.86  18.07   0.43  16.58   0.22  19.69 -9.000 -99.00  -9.00  NGC2623             29.0     52.4
1999gg      15.85   0.10  18.29   0.32  16.78   0.16  15.27   0.08  19.33 -9.000 -99.00  -9.00  15.31   0.09  17.77   0.28  16.25   0.14  14.71   0.07  18.79 -9.000 -99.00  -9.00  14.90   0.10  17.34   0.31  15.83   0.15  14.31   0.08  18.37 -9.000 -99.00  -9.00  M+07-08-11          40.8     39.3
1999gk      17.48   0.23  19.13   0.50  17.66   0.25  16.30   0.14  20.96 -9.000 -99.00  -9.00  17.46   0.28  19.17   0.62  17.65   0.31  16.12   0.15  20.94 -9.000 -99.00  -9.00  16.24   0.20  17.83   0.42  16.41   0.22  15.18   0.13  19.72 -9.000 -99.00  -9.00  NGC4653             81.2    141.3
1999go      16.15   0.12  18.49   0.36  16.99   0.18  15.48   0.09  19.63 -9.000 -99.00  -9.00  15.60   0.12  17.93   0.35  16.43   0.17  14.93   0.09  19.08 -9.000 -99.00  -9.00  15.15   0.12  17.46   0.36  15.97   0.18  14.51   0.09  18.63 -9.000 -99.00  -9.00  NGC1376             99.0    111.0
2000B       16.07   0.11  19.23   0.49  17.73   0.24  16.22   0.12  19.55 -9.000 -99.00  -9.00  15.32   0.09  18.49   0.39  16.98   0.19  15.47   0.10  18.80 -9.000 -99.00  -9.00  15.04   0.11  18.20   0.46  16.69   0.23  15.18   0.11  18.52 -9.000 -99.00  -9.00  NGC2320            110.3    116.5
2000C       14.06   0.04  16.33   0.13  14.84   0.06  13.38   0.03  17.54 -9.000 -99.00  -9.00  13.49   0.04  15.77   0.11  14.27   0.06  12.80   0.03  16.97 -9.000 -99.00  -9.00  13.19   0.05  15.47   0.13  13.97   0.07  12.51   0.03  16.67 -9.000 -99.00  -9.00  NGC2415             40.8     50.2
2000E       15.76   0.10  16.37   0.14  14.87   0.07  13.35   0.03  19.24 -9.000 -99.00  -9.00  14.95   0.09  15.56   0.12  14.07   0.06  12.57   0.03  18.43 -9.000 -99.00  -9.00  14.56   0.09  15.17   0.11  13.69   0.06  12.25   0.03  18.04 -9.000 -99.00  -9.00  NGC6951            152.9    120.9
2000F       16.37   0.14  19.35   0.55  17.86   0.28  16.44   0.15  19.85 -9.000 -99.00  -9.00  15.74   0.13  18.77   0.51  17.28   0.25  15.82   0.13  19.22 -9.000 -99.00  -9.00  15.64   0.15  18.65   0.61  17.16   0.31  15.72   0.16  19.12 -9.000 -99.00  -9.00  IC302              105.6    136.2
2000H       15.94   0.10  18.34   0.30  16.82   0.15  15.31   0.08  19.42 -9.000 -99.00  -9.00  15.02   0.09  17.38   0.27  15.89   0.14  14.41   0.07  18.50 -9.000 -99.00  -9.00  14.83   0.10  17.20   0.28  15.70   0.14  14.21   0.07  18.31 -9.000 -99.00  -9.00  IC454               61.8     81.1
2000L       18.49   0.35  20.54   0.90  19.01   0.45  17.46   0.22  21.97 -9.000 -99.00  -9.00  16.73   0.20  18.62   0.49  17.18   0.25  15.90   0.14  20.21 -9.000 -99.00  -9.00  17.44   0.32  19.44   0.81  17.93   0.40  16.41   0.20  20.91 -9.000 -99.00  -9.00  UGC5520             46.8     33.3
2000M       15.28   0.08  17.04   0.18  15.54   0.09  14.03   0.04  18.76 -9.000 -99.00  -9.00  14.62   0.08  16.39   0.17  14.88   0.09  13.35   0.04  18.10 -9.000 -99.00  -9.00  14.39   0.08  16.17   0.18  14.66   0.09  13.12   0.04  17.87 -9.000 -99.00  -9.00  NGC6389             97.7     83.8
2000N       17.07   0.20  19.52   0.62  18.03   0.31  16.59   0.16  20.55 -9.000 -99.00  -9.00  16.65   0.19  19.08   0.59  17.59   0.30  16.17   0.16  20.12 -9.000 -99.00  -9.00  16.09   0.19  18.56   0.59  17.06   0.30  15.60   0.15  19.57 -9.000 -99.00  -9.00  M-02-34-54         108.9    152.0
2000P       17.09   0.19  18.51   0.36  16.96   0.18  15.36   0.08  20.57 -9.000 -99.00  -9.00  16.43   0.17  17.78   0.32  16.31   0.16  14.87   0.08  19.91 -9.000 -99.00  -9.00  16.25   0.20  17.66   0.38  16.13   0.19  14.59   0.09  19.73 -9.000 -99.00  -9.00  NGC4965             95.9     89.9
2000au      16.91   0.17  20.10   0.73  18.60   0.36  17.07   0.18  20.38 -9.000 -99.00  -9.00  16.15   0.16  19.34   0.68  17.83   0.34  16.31   0.17  19.63 -9.000 -99.00  -9.00  15.64   0.14  18.76   0.59  17.27   0.30  15.79   0.15  19.12 -9.000 -99.00  -9.00  M+08-15-14          53.4     33.2
2000bk     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC4520            -99.0     33.2
2000ca      16.06   0.12  19.71   0.63  18.20   0.31  16.73   0.16  19.54 -9.000 -99.00  -9.00  15.35   0.10  19.01   0.56  17.50   0.28  16.02   0.14  18.83 -9.000 -99.00  -9.00  15.20   0.12  18.86   0.66  17.36   0.33  15.87   0.17  18.68 -9.000 -99.00  -9.00  E383-G32            38.5     38.9
2000cb      17.15   0.20  17.96   0.29  16.62   0.16  15.46   0.09  20.63 -9.000 -99.00  -9.00  16.78   0.20  17.61   0.29  16.23   0.15  14.94   0.09  20.26 -9.000 -99.00  -9.00  16.52   0.22  17.37   0.33  15.95   0.17  14.56   0.09  20.00 -9.000 -99.00  -9.00  IC1158             129.8     95.8
2000ce      16.92   0.17  19.88   0.65  18.37   0.33  16.88   0.16  20.40 -9.000 -99.00  -9.00  16.22   0.14  19.14   0.54  17.65   0.27  16.18   0.14  19.70 -9.000 -99.00  -9.00  15.98   0.17  18.94   0.66  17.44   0.33  15.94   0.16  19.46 -9.000 -99.00  -9.00  UGC4195             53.5     85.8
2000cf      17.26   0.20  22.22   1.97  20.64   0.95  19.13   0.47  20.74 -9.000 -99.00  -9.00  16.45   0.15  21.34   1.47  19.76   0.71  18.26   0.36  19.93 -9.000 -99.00  -9.00  15.91   0.16  20.91   1.62  19.33   0.78  17.81   0.39  19.39 -9.000 -99.00  -9.00  M+11-19-25          20.5     27.7
2000cl      14.74   0.06  16.12   0.12  14.61   0.06  13.04   0.03  18.22 -9.000 -99.00  -9.00  14.09   0.06  15.47   0.11  13.96   0.05  12.38   0.03  17.57 -9.000 -99.00  -9.00  13.79   0.06  15.17   0.12  13.66   0.06  12.08   0.03  17.27 -9.000 -99.00  -9.00  NGC3318             98.9     96.7
2000cr      15.55   0.09  17.68   0.24  16.19   0.12  14.72   0.06  19.03 -9.000 -99.00  -9.00  14.86   0.07  16.99   0.20  15.49   0.10  14.03   0.05  18.33 -9.000 -99.00  -9.00  14.65   0.09  16.80   0.24  15.29   0.12  13.81   0.06  18.13 -9.000 -99.00  -9.00  NGC5395            137.9    187.4
2000cx      18.89   0.42  19.35   0.52  18.19   0.31 -99.00  -9.00  22.37 -9.000 -99.00  -9.00  16.97   0.22  17.43   0.27  16.22   0.15 -99.00  -9.00  20.44 -9.000 -99.00  -9.00  17.09   0.29  17.49   0.35  16.64   0.24 -99.00  -9.00  20.57 -9.000 -99.00  -9.00  NGC524             174.0     42.2
2000db      15.15   0.07  15.12   0.07  13.62   0.04  12.19   0.02  18.63 -9.000 -99.00  -9.00  14.54   0.06  14.51   0.06  13.00   0.03  11.56   0.02  18.02 -9.000 -99.00  -9.00  14.26   0.07  14.23   0.07  12.73   0.04  11.28   0.02  17.74 -9.000 -99.00  -9.00  NGC3949            141.4    136.4
2000dc      17.14   0.19  18.82   0.42  17.27   0.20  15.66   0.10  20.62 -9.000 -99.00  -9.00  16.62   0.19  18.28   0.40  16.75   0.20  15.17   0.10  20.10 -9.000 -99.00  -9.00  16.30   0.21  17.98   0.45  16.44   0.22  14.84   0.11  19.78 -9.000 -99.00  -9.00  E527-G19            76.0     57.2
2000de      15.49   0.09  16.98   0.18  15.46   0.09  13.93   0.04  18.97 -9.000 -99.00  -9.00  14.79   0.07  16.28   0.15  14.76   0.07  13.23   0.04  18.27 -9.000 -99.00  -9.00  14.62   0.09  16.13   0.18  14.58   0.09  13.00   0.04  18.10 -9.000 -99.00  -9.00  NGC4384             65.6     73.6
2000dj      18.05   0.27  20.55   0.87  19.05   0.44  17.58   0.22  21.53 -9.000 -99.00  -9.00  17.26   0.26  19.73   0.81  18.24   0.41  16.81   0.21  20.74 -9.000 -99.00  -9.00  17.01   0.26  19.65   0.88  18.10   0.43  16.47   0.20  20.49 -9.000 -99.00  -9.00  NGC735              37.7     45.8
2000do      15.04   0.07  16.72   0.16  15.19   0.08  13.61   0.04  18.52 -9.000 -99.00  -9.00  14.27   0.06  15.94   0.14  14.42   0.07  12.85   0.03  17.75 -9.000 -99.00  -9.00  13.94   0.07  15.62   0.15  14.09   0.07  12.50   0.04  17.42 -9.000 -99.00  -9.00  NGC6754            114.4    125.0
2000dr      16.97   0.18  19.92   0.71  18.42   0.36  16.91   0.18  20.45 -9.000 -99.00  -9.00  16.13   0.15  19.08   0.59  17.58   0.29  16.07   0.15  19.61 -9.000 -99.00  -9.00  15.73   0.16  18.65   0.61  17.16   0.31  15.67   0.16  19.21 -9.000 -99.00  -9.00  IC1610              40.1     56.0
2000dv      15.08   0.07  17.57   0.23  16.04   0.11  14.48   0.05  18.56 -9.000 -99.00  -9.00  14.46   0.07  16.96   0.23  15.43   0.11  13.86   0.05  17.94 -9.000 -99.00  -9.00  14.11   0.07  16.60   0.22  15.07   0.11  13.51   0.05  17.59 -9.000 -99.00  -9.00  UGC4671             33.9     33.7
2000el      14.69   0.06  16.00   0.11  14.56   0.06  13.25   0.03  18.17 -9.000 -99.00  -9.00  14.02   0.05  15.34   0.09  13.88   0.05  12.57   0.03  17.50 -9.000 -99.00  -9.00  13.77   0.06  15.09   0.11  13.64   0.06  12.33   0.03  17.25 -9.000 -99.00  -9.00  NGC7290             53.2     56.4
2000eo      17.80   0.27  19.52   0.60  17.96   0.30  16.37   0.14  21.28 -9.000 -99.00  -9.00  17.87   0.34  19.77   0.82  18.07   0.37  16.09   0.15  21.35 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  16.84   0.27 -99.00 -9.000 -99.00  -9.00  M-02-09-03          87.6     56.0
2000ew      14.69   0.07  14.68   0.07  13.15   0.03  11.63   0.02  18.17 -9.000 -99.00  -9.00  13.95   0.06  13.94   0.06  12.43   0.03  10.94   0.01  17.43 -9.000 -99.00  -9.00  13.66   0.06  13.65   0.06  12.15   0.03  10.67   0.02  17.14 -9.000 -99.00  -9.00  NGC3810            154.2    130.8
2000fa      16.07   0.11  19.65   0.57  18.14   0.29  16.64   0.14  19.55 -9.000 -99.00  -9.00  15.40   0.09  18.95   0.49  17.45   0.24  15.96   0.12  18.88 -9.000 -99.00  -9.00  15.05   0.11  18.58   0.55  17.09   0.27  15.61   0.14  18.53 -9.000 -99.00  -9.00  UGC3770             68.7     81.0
2000fe      16.21   0.13  18.87   0.44  17.33   0.22  15.72   0.10  19.69 -9.000 -99.00  -9.00  15.34   0.10  17.98   0.32  16.45   0.16  14.87   0.08  18.82 -9.000 -99.00  -9.00  15.25   0.12  17.94   0.42  16.39   0.20  14.75   0.10  18.73 -9.000 -99.00  -9.00  UGC4870             60.0     44.8
2000fn      16.25   0.12  19.01   0.43  17.50   0.22  15.98   0.11  19.73 -9.000 -99.00  -9.00  15.61   0.12  18.39   0.44  16.87   0.22  15.34   0.11  19.09 -9.000 -99.00  -9.00  15.47   0.13  18.28   0.48  16.76   0.24  15.19   0.11  18.95 -9.000 -99.00  -9.00  NGC2526             52.4     45.4
2001C       17.69   0.23  19.68   0.58  18.15   0.29  16.51   0.13  21.17 -9.000 -99.00  -9.00  17.25   0.22  19.22   0.54  17.70   0.27  16.08   0.13  20.72 -9.000 -99.00  -9.00  16.99   0.26  19.09   0.69  17.48   0.33  15.72   0.15  20.46 -9.000 -99.00  -9.00  PGC0019975          20.2     29.3
2001E       16.98   0.19  20.29   0.88  18.78   0.44  17.23   0.21  20.46 -9.000 -99.00  -9.00  16.20   0.16  19.49   0.72  17.98   0.36  16.45   0.18  19.68 -9.000 -99.00  -9.00  16.02   0.19  19.25   0.82  17.75   0.41  16.26   0.21  19.50 -9.000 -99.00  -9.00  NGC3905             90.6     69.1
2001H       15.36   0.09  18.15   0.32  16.67   0.16  15.22   0.08  18.84 -9.000 -99.00  -9.00  14.62   0.08  17.40   0.27  15.92   0.14  14.48   0.07  18.10 -9.000 -99.00  -9.00  14.45   0.09  17.24   0.32  15.75   0.16  14.30   0.08  17.93 -9.000 -99.00  -9.00  M-01-10-19          58.7     55.3
2001I       13.42   0.03  16.12   0.12  14.63   0.06  13.16   0.03  16.90 -9.000 -99.00  -9.00  12.67   0.03  15.36   0.09  13.87   0.05  12.40   0.02  16.14 -9.000 -99.00  -9.00  12.30   0.03  15.00   0.11  13.51   0.05  12.04   0.03  15.78 -9.000 -99.00  -9.00  UGC2836             41.3     42.8
2001J       17.47   0.21  19.89   0.64  18.39   0.32  16.89   0.16  20.94 -9.000 -99.00  -9.00  16.45   0.15  18.84   0.46  17.35   0.23  15.90   0.12  19.93 -9.000 -99.00  -9.00  16.55   0.22  18.94   0.65  17.45   0.33  16.02   0.17  20.03 -9.000 -99.00  -9.00  UGC4729             34.8     52.3
2001K       16.07   0.11  18.23   0.30  16.70   0.15  15.09   0.07  19.54 -9.000 -99.00  -9.00  15.47   0.10  17.66   0.27  16.11   0.13  14.46   0.06  18.95 -9.000 -99.00  -9.00  15.19   0.11  17.34   0.31  15.82   0.15  14.22   0.07  18.67 -9.000 -99.00  -9.00  IC677               67.7     56.1
2001M       16.76   0.16  19.05   0.47  17.54   0.23  16.02   0.12  20.24 -9.000 -99.00  -9.00  15.98   0.14  18.25   0.41  16.75   0.20  15.26   0.10  19.46 -9.000 -99.00  -9.00  16.04   0.19  18.38   0.55  16.85   0.27  15.26   0.13  19.52 -9.000 -99.00  -9.00  NGC3240             41.2     40.0
2001Q       17.87   0.25  20.11   0.71  18.61   0.35  17.12   0.18  21.35 -9.000 -99.00  -9.00  17.05   0.20  19.24   0.55  17.76   0.28  16.34   0.14  20.53 -9.000 -99.00  -9.00  18.08   0.44  20.87   1.57  19.08   0.69  17.01   0.27  21.56 -9.000 -99.00  -9.00  UGC6429             60.2     35.2
2001R       17.40   0.21  19.83   0.63  18.35   0.32  16.90   0.16  20.87 -9.000 -99.00  -9.00  16.79   0.18  19.30   0.58  17.78   0.29  16.26   0.14  20.27 -9.000 -99.00  -9.00  16.65   0.23  19.06   0.69  17.58   0.35  16.17   0.18  20.12 -9.000 -99.00  -9.00  NGC5172            147.8     91.0
2001T       17.16   0.20  19.71   0.66  18.20   0.33  16.66   0.16  20.64 -9.000 -99.00  -9.00  16.67   0.20  19.22   0.64  17.70   0.32  16.18   0.16  20.15 -9.000 -99.00  -9.00  15.96   0.18  18.50   0.58  16.99   0.29  15.48   0.14  19.44 -9.000 -99.00  -9.00  M-02-37-06          40.4     32.6
2001V       17.32   0.20  20.02   0.68  18.53   0.34  17.05   0.17  20.80 -9.000 -99.00  -9.00  16.88   0.19  19.64   0.67  18.13   0.33  16.60   0.16  20.36 -9.000 -99.00  -9.00  16.29   0.19  19.00   0.66  17.51   0.33  16.02   0.17  19.77 -9.000 -99.00  -9.00  NGC3987             79.4    159.3
2001ab      16.48   0.14  19.38   0.54  17.87   0.27  16.34   0.13  19.96 -9.000 -99.00  -9.00  15.96   0.12  18.91   0.48  17.39   0.24  15.81   0.12  19.44 -9.000 -99.00  -9.00  15.59   0.14  18.48   0.53  16.97   0.26  15.44   0.13  19.07 -9.000 -99.00  -9.00  NGC6130             54.0     76.6
2001ac      17.81   0.25  18.47   0.35  16.95   0.17  15.40   0.08  21.28 -9.000 -99.00  -9.00  18.19   0.35  19.07   0.52  17.03   0.20  15.15   0.09  21.67 -9.000 -99.00  -9.00  16.94   0.26  17.58   0.35  15.41   0.13 -99.00  -9.00  20.42 -9.000 -99.00  -9.00  NGC3504             75.6    139.7
2001ad     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC6373            -99.0    139.7
2001ba      18.57   0.37  22.73   2.52  21.25   1.27  19.74   0.64  22.05 -9.000 -99.00  -9.00  17.75   0.31  21.94   2.17  20.46   1.10  18.94   0.55  21.23 -9.000 -99.00  -9.00  16.83   0.26  21.00   1.78  19.50   0.90  18.00   0.45  20.31 -9.000 -99.00  -9.00  M-05-28-01          30.9     24.7
2001bb      15.94   0.12  18.75   0.43  17.24   0.21  15.71   0.10  19.42 -9.000 -99.00  -9.00  15.32   0.10  18.09   0.37  16.59   0.19  15.09   0.09  18.80 -9.000 -99.00  -9.00  15.03   0.11  17.83   0.42  16.32   0.21  14.80   0.10  18.51 -9.000 -99.00  -9.00  IC4319              97.4     80.6
2001bf      15.38   0.08  18.05   0.28  16.53   0.14  14.95   0.07  18.86 -9.000 -99.00  -9.00  14.81   0.07  17.51   0.25  15.98   0.12  14.38   0.06  18.29 -9.000 -99.00  -9.00  14.53   0.09  17.24   0.30  15.71   0.15  14.09   0.07  18.01 -9.000 -99.00  -9.00  M+04-42-22          31.0     27.4
2001bg      16.95   0.17  18.17   0.30  16.65   0.15  15.12   0.07  20.43 -9.000 -99.00  -9.00  16.76   0.18  18.02   0.32  16.44   0.15  14.76   0.07  20.24 -9.000 -99.00  -9.00  16.32   0.19  17.58   0.34  16.00   0.17  14.35   0.08  19.80 -9.000 -99.00  -9.00  NGC2608            110.3    111.1
2001bq      15.69   0.10  17.30   0.21  15.82   0.11  14.39   0.06  19.17 -9.000 -99.00  -9.00  15.11   0.09  16.69   0.19  15.22   0.10  13.87   0.05  18.58 -9.000 -99.00  -9.00  14.98   0.11  16.58   0.23  15.10   0.12  13.69   0.06  18.46 -9.000 -99.00  -9.00  NGC5534             44.0     74.3
2001bt      16.33   0.13  18.61   0.38  17.09   0.19  15.55   0.09  19.80 -9.000 -99.00  -9.00  15.55   0.11  17.79   0.32  16.29   0.16  14.81   0.08  19.02 -9.000 -99.00  -9.00  15.55   0.14  17.85   0.42  16.33   0.21  14.75   0.10  19.02 -9.000 -99.00  -9.00  IC4830             112.9    115.9
2001cl      17.10   0.19  19.72   0.65  18.21   0.32  16.70   0.16  20.58 -9.000 -99.00  -9.00  16.75   0.20  19.40   0.68  17.88   0.34  16.33   0.17  20.23 -9.000 -99.00  -9.00  16.32   0.21  18.97   0.71  17.45   0.35  15.90   0.17  19.79 -9.000 -99.00  -9.00  NGC7260             54.0     53.8
2001cn      16.98   0.18  19.58   0.58  18.06   0.29  16.49   0.14  20.46 -9.000 -99.00  -9.00  16.39   0.16  19.00   0.54  17.47   0.27  15.89   0.13  19.87 -9.000 -99.00  -9.00  15.84   0.16  18.38   0.52  16.88   0.26  15.38   0.13  19.32 -9.000 -99.00  -9.00  IC4758              75.5     55.2
2001cx      17.17   0.19  19.75   0.63  18.24   0.32  16.72   0.16  20.65 -9.000 -99.00  -9.00  16.15   0.15  18.74   0.49  17.22   0.24  15.70   0.12  19.63 -9.000 -99.00  -9.00  15.98   0.17  18.53   0.56  17.04   0.28  15.53   0.14  19.46 -9.000 -99.00  -9.00  UGC12266            63.3     38.4
2001cy      15.17   0.08  17.61   0.24  16.10   0.12  14.60   0.06  18.65 -9.000 -99.00  -9.00  14.43   0.06  16.87   0.19  15.36   0.09  13.85   0.05  17.91 -9.000 -99.00  -9.00  14.11   0.07  16.55   0.22  15.04   0.11  13.53   0.05  17.59 -9.000 -99.00  -9.00  UGC11927            64.4     61.5
2001cz      16.24   0.12  18.94   0.43  17.44   0.22  15.95   0.11  19.72 -9.000 -99.00  -9.00  15.57   0.11  18.27   0.40  16.76   0.20  15.27   0.10  19.05 -9.000 -99.00  -9.00  15.43   0.14  18.18   0.48  16.66   0.24  15.12   0.12  18.91 -9.000 -99.00  -9.00  NGC4679             93.9     59.9
2001da      15.81   0.11  18.58   0.39  17.07   0.19  15.51   0.09  19.29 -9.000 -99.00  -9.00  15.00   0.10  17.74   0.34  16.24   0.17  14.70   0.08  18.48 -9.000 -99.00  -9.00  14.63   0.09  17.38   0.32  15.87   0.16  14.33   0.08  18.11 -9.000 -99.00  -9.00  NGC7780             53.1     59.7
2001db      13.58   0.04  15.33   0.09  13.85   0.04  12.42   0.02  17.06 -9.000 -99.00  -9.00  12.81   0.03  14.57   0.07  13.09   0.04  11.64   0.02  16.29 -9.000 -99.00  -9.00  12.44   0.03  14.20   0.08  12.71   0.04  11.25   0.02  15.91 -9.000 -99.00  -9.00  NGC3256            120.6    103.5
2001di      19.77   0.65  22.51   2.27  20.99   1.13  19.53   0.58  23.25 -9.000 -99.00  -9.00  19.42   0.60  22.07   2.04  20.64   1.05  19.19   0.54  22.90 -9.000 -99.00  -9.00  17.94   0.41  20.76   1.50  19.23   0.74  17.69   0.36  21.42 -9.000 -99.00  -9.00  UGC3259             46.3     92.3
2001dj     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC180             206.2    151.2
2001dk      15.51   0.09  18.35   0.32  16.83   0.16  15.22   0.08  18.99 -9.000 -99.00  -9.00  14.86   0.07  17.73   0.28  16.20   0.14  14.56   0.06  18.34 -9.000 -99.00  -9.00  14.57   0.09  17.44   0.32  15.90   0.16  14.26   0.08  18.04 -9.000 -99.00  -9.00  UGC913              33.6     32.0
