# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2003ci      UGC06212                     0.828    -0.64     6.14    0.815    -0.49     3.88    0.821    -0.89     2.56    0.816    -0.88     2.24    0.841    -0.94     2.05
1983B       A111030+5824                 0.129   -99.00    -9.00    0.534   -99.00    -9.00    0.618   -99.00    -9.00    0.652   -99.00    -9.00    0.631   -99.00    -9.00
2001ah      UGC06211                     0.998   -99.00    -9.00    0.998   -99.00    -9.00    0.998   -99.00    -9.00    0.998   -99.00    -9.00    0.999   -99.00    -9.00
2009my      NGC3559                      0.567    -0.39     4.34    0.571    -0.30     2.82    0.584    -0.49     2.14    0.583    -0.31     2.11    0.594    -0.35     1.99
1955H       A111048+0256                 0.015   -99.00    -9.00    0.069   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00    0.000   -99.00    -9.00
1955N       A111118+2421                 0.137   -99.00    -9.00    0.000   -99.00    -9.00    0.040   -99.00    -9.00    0.370   -99.00    -9.00    1.000   -99.00    -9.00
1969B       NGC3556                      1.000    -4.26     6.16    1.000    -4.90     2.75    1.000    -5.44     1.92    1.000    -5.58     1.41    1.000    -6.00     1.28
1951D       A111148+0342                 0.061   -99.00    -9.00    0.017   -99.00    -9.00    0.003   -99.00    -9.00    0.007   -99.00    -9.00    0.001   -99.00    -9.00
1973D       NGC3570                      0.649    -0.65     8.69    0.694     0.25     6.14    0.703     0.84     5.49    0.701     0.64     4.09    0.732     0.43     3.41
1973A       NGC3574                      0.981    -2.10    12.29    0.978    -0.50    12.28    0.979     0.27    12.28    0.979     0.77    12.28    0.975     0.69    12.28
1955O       A111230+2147                 0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1989G       IC2637                       0.914   -99.00    -9.00    0.896   -99.00    -9.00    0.901     1.63    12.28    0.895     1.99    12.28    0.898   -99.00    -9.00
2009by      UGC06260                     1.000    -3.87     8.76    1.000    -3.32     8.69    1.000    -2.46     8.69    1.000    -2.05     8.69    1.000    -1.91     7.10
2001K       IC0677                       0.317     1.14     5.49    0.331     0.48     2.41    0.363     0.49     1.87    0.376     0.54     1.69    0.398     0.55     1.54
1975P       NGC3583                      0.877    -0.44     7.09    0.886     0.13     5.49    0.899     0.07     4.34    0.902     0.26     4.09    0.920    -0.03     3.41
2002ch      A111431+3348                 0.007   -99.00    -9.00    0.005   -99.00    -9.00    0.004   -99.00    -9.00    0.004   -99.00    -9.00    0.000   -99.00    -9.00
1998R       UGC06271                     0.308     0.23     2.36    0.284    -0.13     1.20    0.279    -0.15     0.90    0.268    -0.15     0.79    0.290    -0.19     0.69
1972B       A111448+5430                 0.806   -99.00    -9.00    0.138   -99.00    -9.00    0.016   -99.00    -9.00    0.180   -99.00    -9.00    0.686   -99.00    -9.00
2005R       UGC06274                     0.043     0.87     5.49    0.058     0.11     2.11    0.074     0.19     1.63    0.080    -0.02     1.27    0.090     0.02     1.16
2005C       A111529+6045                 0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.040   -99.00    -9.00    0.005   -99.00    -9.00
1992B       A111609+5529                 0.594   -99.00    -9.00    0.570   -99.00    -9.00    0.514   -99.00    -9.00    0.494   -99.00    -9.00    0.424   -99.00    -9.00
2003cv      A111748+1909                 0.665   -99.00    -9.00    0.007   -99.00    -9.00    0.002   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00
1997ax      A111802+0002                 0.004   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00
2003kw      UGC06314                     0.451   -99.00    -9.00    0.431     1.79     6.14    0.457     1.42     3.55    0.461     0.98     2.41    0.494     1.13     2.28
1967B       MCG+01-29-028                0.000   -11.24    69.08    0.000    -6.50     2.33    0.000    -8.25     6.17    0.000    -6.16     1.57    0.000    -7.91     7.46
2011eh      NGC3613                      0.857   -99.00    -9.00    0.863     0.05     7.09    0.872     0.45     6.14    0.870     1.20     7.09    0.876     1.06     6.14
2013am      NGC3623                      0.353     1.34     8.69    0.586    -0.04     2.28    0.614    -0.29     1.40    0.626    -0.17     1.20    0.636    -0.24     1.02
2002bp      UGC06332                     0.773     0.32    12.28    0.829     0.82     8.69    0.840     0.99     7.09    0.846     0.99     6.14    0.855     1.49     7.09
2007bc      UGC06332                     0.819   -99.00    -9.00    0.868     1.26    12.28    0.875     1.89    12.28    0.879     2.22    12.28    0.887     1.64     8.69
2003dn      A112008+2536                 0.611   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.004   -99.00    -9.00    0.131   -99.00    -9.00
1973R       NGC3627                      0.291     3.42    12.28    0.323     1.01     2.36    0.344     0.63     1.50    0.351     0.57     1.25    0.358     0.66     1.19
1989B       NGC3627                      0.273    -0.28     2.17    0.308    -0.55     1.10    0.328    -0.58     0.82    0.336    -0.54     0.72    0.343    -0.58     0.64
1997bs?     NGC3627                      0.393     1.24     4.64    0.404     0.58     2.11    0.421     0.32     1.42    0.425     0.34     1.25    0.431     0.44     1.19
2009hd      NGC3627                      0.409    -0.66     2.08    0.417    -0.63     1.27    0.434    -0.56     0.99    0.437    -0.51     0.88    0.443    -0.55     0.78
1983W       NGC3625                      0.989    -2.84     7.10    0.992    -3.00     4.34    0.992    -3.30     3.41    0.992    -3.46     2.82    0.994    -4.07     2.55
2005km      UGC06356                     0.488    -0.17     5.49    0.580    -0.99     2.05    0.619    -1.29     1.31    0.631    -1.31     1.08    0.664    -1.33     0.94
1971H       A112054+2818                 0.518   -99.00    -9.00    0.304   -99.00    -9.00    0.297   -99.00    -9.00    0.322   -99.00    -9.00    0.515   -99.00    -9.00
2004bg      UGC06363                     0.711     0.98     8.69    0.626    -0.08     3.17    0.657    -0.09     2.51    0.653    -0.37     1.94    0.723    -0.40     1.79
1964A       NGC3631                      0.937   -99.00    -9.00    0.913   -99.00    -9.00    0.912   -99.00    -9.00    0.914   -99.00    -9.00    0.927   -99.00    -9.00
1965L       NGC3631                      0.546     1.22     8.69    0.551     1.01     5.01    0.573     1.20     4.64    0.588     1.02     3.88    0.606     0.94     3.55
1996bu      NGC3631                      0.948   -99.00    -9.00    0.925   -99.00    -9.00    0.923     1.63    12.28    0.925     1.11     8.69    0.938     1.17     8.69
1990G       IC2735                       0.908   -99.00    -9.00    0.927   -99.00    -9.00    0.931   -99.00    -9.00    0.933   -99.00    -9.00    0.937     2.62    12.28
2009ee      IC2738                       1.000    -6.35     9.09    1.000    -4.38     7.10    1.000    -4.44     7.12    1.000    -3.73     7.10    1.000    -6.83    76.16
1996Y       A112132+0253                 0.853    -3.43     2.82    0.616    -3.48     1.07    0.589    -3.46     0.70    0.562    -3.38     0.58    0.567    -3.38     0.49
1996V       NGC3644                      0.983   -99.00    -9.00    0.988    -1.17    12.28    0.988   -99.00    -9.00    0.989    -0.10    12.28    0.991   -99.00    -9.00
1989N       NGC3646                      0.743    -0.58     5.01    0.743    -1.04     2.46    0.763    -1.24     1.83    0.772    -1.28     1.61    0.796    -1.26     1.56
1999cd      NGC3646                      0.595     0.13     5.49    0.618     0.54     4.09    0.651     0.46     3.28    0.669     0.41     2.90    0.696     0.38     2.75
1997bz      A112225+0111                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1999aj      A112239-1143                 0.060   -99.00    -9.00    0.168   -99.00    -9.00    0.038   -99.00    -9.00    0.010   -99.00    -9.00    0.003   -99.00    -9.00
2002ji      NGC3655                      0.802     0.05     4.64    0.778     0.12     2.82    0.786    -0.01     2.08    0.782     0.07     1.92    0.801     0.03     1.77
2003ct      A112256-0256                 0.074   -99.00    -9.00    0.093     2.52    12.28    0.177     2.49     8.69    0.233     2.89     8.69    0.185     2.69     7.09
1997az      A112305-0015                 0.010   -99.00    -9.00    1.000   -99.00    -9.00    0.372   -99.00    -9.00    0.817   -99.00    -9.00    0.001   -99.00    -9.00
2008cz      AGC211492                    1.000    -1.63    12.30    1.000     0.12    12.28    0.955     0.65    12.28    0.866     0.92    12.28    0.925     0.81    12.29
1963K       NGC3656                      0.447   -99.00    -9.00    0.497     2.07     7.09    0.526     0.98     3.17    0.539     0.64     2.32    0.582     0.58     2.08
1973C       NGC3656                      0.225     1.00     5.49    0.257     0.14     1.83    0.290     0.26     1.38    0.306     0.42     1.25    0.346     0.48     1.14
2006ue      A112349+2128                 0.006   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.027   -99.00    -9.00    0.525   -99.00    -9.00
2006ax      NGC3663                     -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00
2003cw      A112403+2320                 0.083   -99.00    -9.00    0.068   -99.00    -9.00    0.061   -99.00    -9.00    0.064   -99.00    -9.00    0.061   -99.00    -9.00
2002hl      NGC3665                      0.521     0.44     8.69    0.555     0.39     3.88    0.574     0.95     3.55    0.580     0.49     2.36    0.589     0.46     2.11
2007bm      NGC3672                      0.037   -99.00    -9.00    0.057     3.21     7.09    0.074   -99.00    -9.00    0.084   -99.00    -9.00    0.091   -99.00    -9.00
2008gz      NGC3672                      0.225   -99.00    -9.00    0.276     1.16     3.55    0.320   -99.00    -9.00    0.344   -99.00    -9.00    0.362   -99.00    -9.00
2001Q       UGC06429                     0.479    -0.11     8.69    0.527     0.25     6.14    0.560    -0.33     3.88    0.584    -0.29     3.55    0.585    -0.41     3.17
1992F       A112523+5636                 0.054    -1.63     4.35    0.093    -1.39     2.08    0.102    -1.26     1.45    0.105    -1.14     1.22    0.106    -1.16     1.08
1989af      UGC06433                     0.320     0.78     6.14    0.302     1.05     4.64    0.287     1.05     4.09    0.270     0.96     3.70    0.260     1.08     3.70
2001bk      A112532-0144                 0.302   -99.00    -9.00    0.718   -99.00    -9.00    0.454   -99.00    -9.00    0.064   -99.00    -9.00    0.400   -99.00    -9.00
2008E       A112536+5208                 0.000   -99.00    -9.00   -9.000   -99.00    -9.00    0.038   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2004as      A112539+2249                 0.249   -99.00    -9.00    0.288   -99.00    -9.00    0.311   -99.00    -9.00    0.343     2.86    12.28    0.366     2.97    12.28
2010gx      A112547-0849                 0.000    -3.03     9.03    1.000    -1.01     8.70   -9.000    -1.80     7.11    0.000    -4.72     7.33   -9.000    -3.13    11.90
2003ag      UGC06440                     0.506     1.01     8.69    0.541     1.00     5.01    0.569     0.51     3.07    0.570     0.21     2.28    0.580     0.19     2.02
1984R       NGC3675                      0.093     0.79     3.41    0.114     0.28     1.27    0.126     0.39     0.91    0.130     0.44     0.74    0.139     0.55     0.67
1955G       PGC035168                    0.784     0.89    12.28    0.726     1.52     8.69    0.699     2.07     8.69    0.684     1.98     7.09    0.663     1.46     5.01
2004gr      NGC3678                      0.666     0.33     5.01    0.616    -0.34     2.41    0.609    -0.52     1.90    0.605    -0.54     1.72    0.614    -0.42     1.74
1999ew      NGC3677                      0.342     1.08     4.09    0.341     0.54     1.83    0.338     0.37     1.26    0.334     0.38     1.09    0.357     0.43     0.98
2000bu      A112711-0623                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2004C       NGC3683                      0.750    -1.79     3.41    0.786    -1.98     1.74    0.822    -2.18     1.18    0.827    -2.14     1.02    0.852    -2.46     0.84
1989A       NGC3687                      0.622    -0.38     5.49    0.657     0.79     5.49    0.694     1.10     5.01    0.698     0.84     3.88    0.724     0.61     3.28
1992bu      NGC3690                      0.070    -0.20     1.66    0.062    -0.25     1.14    0.064    -0.26     0.84    0.062    -0.34     0.74    0.062    -0.35     0.65
1993G       NGC3690                      0.483     2.01     6.14    0.415     2.43     5.01    0.430     2.27     3.41    0.412     1.73     2.41    0.427     1.90     2.28
1998T       NGC3690                      0.000    -1.90     0.99    0.000    -1.30     0.81    0.000    -1.43     0.67    0.000    -1.09     0.64    0.000    -1.32     0.56
1999D       NGC3690                      0.587     3.18    12.28    0.518     1.40     3.55    0.540     1.40     2.62    0.519     1.25     2.21    0.533     1.26     1.99
